route_id,trip_id,service_id,trip_headsign,trip_short_name,direction_id,shape_id
O0474AAA0A,c5688e68-2941-49bc-ba2d-04b29f0fffb0,U_REG,Copacabana,474,0,fpsr
O0474AAN0A,bae1aaae-cd8a-4821-9406-c920309e5972,U_REG,Méier,SN474,1,yfk2
O0474AAV0A,3cf789ce-d821-4ad2-8d84-ee9a9f14a84d,U_REG,Copacabana,SV474,0,qppd
O0476AAA0A,998061f0-3480-49c1-ad58-5aed347bddab,U_REG,Leblon,476,0,0bhr
O0483AAA0A,3ae26ab6-67bb-4df0-a86c-04429c69f5ab,U_REG,Penha,483,1,ca49
O0483AAN0A,bdfa817b-d69c-4cb2-b84a-98816f978c9b,U_REG,General Osório,SN483,0,txxp
O0483AAPAA,0b4d3dff-685b-466f-99cd-00841ecb3e34,U_REG,General Osório,SPA483,0,r4m5
O0483AAPBA,cecf01da-793f-4a41-acfb-d0f949abc000,U_REG,General Osório,SPB483,0,p500
O0483AAV0A,5c0417f0-e512-4776-8aeb-15c8d966fb42,U_REG,Penha,SV483,0,4dox
O0484AAA0A,539c5617-2fbb-4852-b851-1a1a728076d7,U_REG,General Osório,484,0,mwml
O0485AAA0A,c00966c4-5b54-4df7-bb47-ec11010d58cc,U_REG,Fundão,485,1,labi
O0485AAP0A,8fe9c601-0f70-4ac4-ada1-4fc6c6aa19eb,U_REG,Fundão,SP485,0,3tti
O0486AAA0A,e0807767-f297-4207-9d4c-046e36a96063,U_REG,Fundão,486,1,qe24
O0492AAA0A,13f61f5d-b7d3-4851-887b-25314364d6d0,U_REG,Bancários,492,1,bjdi
O0497AAA0A,d4b4bb6c-eeba-4494-b0be-d2fcfadbf670,U_REG,Largo do Machado,497,0,kq4p
O0497AAN0A,87f06159-5ef2-48a5-b2fe-399849dfa2ba,U_REG,Largo do Machado,SN497,0,e63q
O0498AAA0A,43e92ced-d7c1-467f-8fdf-871f4e11bb20,U_REG,Largo do Machado,498,0,qhyb
O0507AAA0A,d5888a96-7805-4ada-af7d-59052ab75ac2,U_REG,Silvestre,507,1,1u7u
O0513AAA0A,9abe307b-1bab-4b4c-a99c-cb75b2cfdb25,U_REG,Botafogo,513,0,vgv9
